"region","date","type","bottom","top","lower","upper","median","mean"
"Paraná",2020-01-28,"nowcast",1,1,1,1,1,1
"Paraná",2020-01-29,"nowcast",0,1,0,1,0.5,0.5
"Paraná",2020-01-30,"nowcast",0,0,0,0,0,0
"Paraná",2020-01-31,"nowcast",0,0,0,0,0,0
"Paraná",2020-02-01,"nowcast",0,0,0,0,0,0
"Paraná",2020-02-02,"nowcast",0,0,0,0,0,0
"Paraná",2020-02-03,"nowcast",0,1,0,0,0,0.333333333333333
"Paraná",2020-02-04,"nowcast",0,0,0,0,0,0
"Paraná",2020-02-05,"nowcast",0,1,0,0,0,0.4
"Paraná",2020-02-06,"nowcast",0,0,0,0,0,0
"Paraná",2020-02-07,"nowcast",0,1,1,1,1,0.714285714285714
"Paraná",2020-02-08,"nowcast",0,1,0,0,0,0.35
"Paraná",2020-02-09,"nowcast",0,1,0,0,0,0.346153846153846
"Paraná",2020-02-10,"nowcast",0,1,0,0,0,0.333333333333333
"Paraná",2020-02-11,"nowcast",0,1,0,0,0,0.38
"Paraná",2020-02-12,"nowcast",0,1,0,0,0,0.224137931034483
"Paraná",2020-02-13,"nowcast",0,1,0,0,0,0.246575342465753
"Paraná",2020-02-14,"nowcast",0,1,0,0,0,0.309278350515464
"Paraná",2020-02-15,"nowcast",0,1,0,0,0,0.292682926829268
"Paraná",2020-02-16,"nowcast",0,1,0,0,0,0.363636363636364
"Paraná",2020-02-17,"nowcast",0,1,0,0,0,0.393665158371041
"Paraná",2020-02-18,"nowcast",0,1,0,0,0,0.339483394833948
"Paraná",2020-02-19,"nowcast",0,1,0,0,0,0.401840490797546
"Paraná",2020-02-20,"nowcast",0,1,0,0,0,0.423267326732673
"Paraná",2020-02-21,"nowcast",0,1,0,0,0,0.427350427350427
"Paraná",2020-02-22,"nowcast",0,1,0,0,0,0.452690166975881
"Paraná",2020-02-23,"nowcast",0,1,0,0,0,0.509554140127389
"Paraná",2020-02-24,"nowcast",0,1,0,0,0,0.569230769230769
"Paraná",2020-02-25,"nowcast",0,2,0,1,1,0.66540404040404
"Paraná",2020-02-26,"nowcast",0,2,0,1,1,0.823803967327888
"Paraná",2020-02-27,"nowcast",0,2,0,1,1,0.908590308370044
"Paraná",2020-02-28,"nowcast",0,3,0,1,1,1.07928118393235
"Paraná",2020-02-29,"nowcast",0,3,0,1,1,1.34329896907216
"Paraná",2020-03-01,"nowcast",0,3,0,1,1,1.59552845528455
"Paraná",2020-03-02,"nowcast",0,4,1,2,2,1.92957746478873
"Paraná",2020-03-03,"nowcast",0,5,0,2,2,2.30730730730731
"Paraná",2020-03-04,"nowcast",0,5,0,2,2,2.827
"Paraná",2020-03-05,"nowcast",0,6,1,3,3,3.303
"Paraná",2020-03-06,"nowcast",0,7,2,4,4,4
"Paraná",2020-03-07,"nowcast",1,8,2,5,5,4.734
"Paraná",2020-03-08,"nowcast",1,9,2,5,5,5.571
"Paraná",2020-03-09,"nowcast",2,11,4,7,6,6.498
"Paraná",2020-03-10,"nowcast",3,12,4,8,7,7.48
"Paraná",2020-03-11,"nowcast",3,13,4,8,8,8.486
"Paraná",2020-03-12,"nowcast",3,14,6,10,10,9.987
"Paraná",2020-03-13,"nowcast",5,17,7,12,11,11.407
"Paraná",2020-03-14,"nowcast",6,18,10,14,12,12.542
"Paraná",2020-03-15,"nowcast",7,20,10,15,14,14.22
"Paraná",2020-03-16,"nowcast",8,22,11,16,15,15.586
"Paraná",2020-03-17,"nowcast",9,23,14,19,17,16.929
"Paraná",2020-03-18,"nowcast",10,25,14,20,19,18.755
"Paraná",2020-03-19,"nowcast",11,27,16,22,20,20.348
"Paraná",2020-03-20,"nowcast",14,30,18,24,22,22.429
"Paraná",2020-03-21,"nowcast",14,32,19,26,24,24.649
"Paraná",2020-03-22,"nowcast",16,34,21,28,26,26.574
"Paraná",2020-03-23,"nowcast",19,38,23,31,29,29.044
