"region","date","type","bottom","top","lower","upper","median","mean"
"Paraíba",2020-02-13,"nowcast",1,1,1,1,1,1
"Paraíba",2020-02-14,"nowcast",0,0,0,0,0,0
"Paraíba",2020-02-15,"nowcast",0,0,0,0,0,0
"Paraíba",2020-02-16,"nowcast",0,1,0,1,0.5,0.5
"Paraíba",2020-02-17,"nowcast",0,1,0,0,0,0.428571428571429
"Paraíba",2020-02-18,"nowcast",0,1,0,0,0,0.3
"Paraíba",2020-02-19,"nowcast",0,1,0,0,0,0.333333333333333
"Paraíba",2020-02-20,"nowcast",0,1,1,1,1,0.571428571428571
"Paraíba",2020-02-21,"nowcast",0,1,0,0,0,0.357142857142857
"Paraíba",2020-02-22,"nowcast",0,1,0,0,0,0.307692307692308
"Paraíba",2020-02-23,"nowcast",0,1,0,0,0,0.294117647058824
"Paraíba",2020-02-24,"nowcast",0,1,0,0,0,0.224137931034483
"Paraíba",2020-02-25,"nowcast",0,1,0,0,0,0.333333333333333
"Paraíba",2020-02-26,"nowcast",0,1,0,0,0,0.263157894736842
"Paraíba",2020-02-27,"nowcast",0,1,0,0,0,0.333333333333333
"Paraíba",2020-02-28,"nowcast",0,1,0,0,0,0.269736842105263
"Paraíba",2020-02-29,"nowcast",0,1,0,0,0,0.394230769230769
"Paraíba",2020-03-01,"nowcast",0,1,0,0,0,0.354961832061069
"Paraíba",2020-03-02,"nowcast",0,1,0,0,0,0.345679012345679
"Paraíba",2020-03-03,"nowcast",0,1,0,0,0,0.361757105943152
"Paraíba",2020-03-04,"nowcast",0,1,0,0,0,0.403547671840355
"Paraíba",2020-03-05,"nowcast",0,1,0,0,0,0.382297551789077
"Paraíba",2020-03-06,"nowcast",0,1,0,0,0,0.480865224625624
"Paraíba",2020-03-07,"nowcast",0,1,0,0,0,0.47172619047619
"Paraíba",2020-03-08,"nowcast",0,2,0,0,0,0.575635876840696
"Paraíba",2020-03-09,"nowcast",0,2,0,0,0,0.618811881188119
"Paraíba",2020-03-10,"nowcast",0,2,0,1,1,0.668584579976985
"Paraíba",2020-03-11,"nowcast",0,2,0,1,1,0.793028322440087
"Paraíba",2020-03-12,"nowcast",0,2,0,1,1,0.956932773109244
"Paraíba",2020-03-13,"nowcast",0,2,0,1,1,1.09314227226203
"Paraíba",2020-03-14,"nowcast",0,3,0,1,1,1.25278058645096
"Paraíba",2020-03-15,"nowcast",0,3,0,1,1,1.48341708542714
"Paraíba",2020-03-16,"nowcast",0,4,0,1,1,1.733
"Paraíba",2020-03-17,"nowcast",0,4,1,2,2,2.066
"Paraíba",2020-03-18,"nowcast",0,5,0,2,2,2.398
"Paraíba",2020-03-19,"nowcast",0,5,1,3,3,2.811
"Paraíba",2020-03-20,"nowcast",0,6,1,3,3,3.231
"Paraíba",2020-03-21,"nowcast",0,6,2,4,3,3.558
"Paraíba",2020-03-22,"nowcast",1,7,2,4,4,4.095
