"date","type","bottom","top","lower","upper","median","mean","region"
2020-02-11,"nowcast",1,1,1,1,1,1,"Pará"
2020-02-12,"nowcast",0,0,0,0,0,0,"Pará"
2020-02-13,"nowcast",0,1,0,0,0,0.4,"Pará"
2020-02-14,"nowcast",0,1,0,0,0,0.375,"Pará"
2020-02-15,"nowcast",0,1,0,0,0,0.111111111111111,"Pará"
2020-02-16,"nowcast",0,1,0,0,0,0.363636363636364,"Pará"
2020-02-17,"nowcast",0,1,0,0,0,0.375,"Pará"
2020-02-18,"nowcast",0,1,0,0,0,0.363636363636364,"Pará"
2020-02-19,"nowcast",0,1,0,0,0,0.290322580645161,"Pará"
2020-02-20,"nowcast",0,1,0,0,0,0.333333333333333,"Pará"
2020-02-21,"nowcast",0,1,0,0,0,0.362068965517241,"Pará"
2020-02-22,"nowcast",0,1,0,0,0,0.279411764705882,"Pará"
2020-02-23,"nowcast",0,1,0,0,0,0.290697674418605,"Pará"
2020-02-24,"nowcast",0,1,0,0,0,0.31304347826087,"Pará"
2020-02-25,"nowcast",0,1,0,0,0,0.323943661971831,"Pará"
2020-02-26,"nowcast",0,1,0,0,0,0.310344827586207,"Pará"
2020-02-27,"nowcast",0,1,0,0,0,0.345794392523364,"Pará"
2020-02-28,"nowcast",0,1,0,0,0,0.417624521072797,"Pará"
2020-02-29,"nowcast",0,1,0,0,0,0.413249211356467,"Pará"
2020-03-01,"nowcast",0,1,0,0,0,0.484771573604061,"Pará"
2020-03-02,"nowcast",0,1,0,0,0,0.465116279069767,"Pará"
2020-03-03,"nowcast",0,1,0,0,0,0.489247311827957,"Pará"
2020-03-04,"nowcast",0,1,0,0,0,0.541864139020537,"Pará"
2020-03-05,"nowcast",0,2,0,0,0,0.604972375690608,"Pará"
2020-03-06,"nowcast",0,2,0,1,1,0.68039950062422,"Pará"
2020-03-07,"nowcast",0,2,0,1,1,0.787949015063731,"Pará"
2020-03-08,"nowcast",0,2,0,1,1,0.913429522752497,"Pará"
2020-03-09,"nowcast",0,2,0,1,1,1.08368644067797,"Pará"
2020-03-10,"nowcast",0,3,0,1,1,1.28895768833849,"Pará"
2020-03-11,"nowcast",0,4,0,1,1,1.65920651068159,"Pará"
2020-03-12,"nowcast",0,4,1,2,2,1.93957703927492,"Pará"
2020-03-13,"nowcast",0,5,0,2,2,2.309,"Pará"
2020-03-14,"nowcast",0,5,1,3,3,2.84,"Pará"
2020-03-15,"nowcast",0,6,1,3,3,3.398,"Pará"
2020-03-16,"nowcast",0,7,1,4,4,4.171,"Pará"
2020-03-17,"nowcast",1,8,2,5,4,4.737,"Pará"
2020-03-18,"nowcast",1,9,3,6,5,5.576,"Pará"
2020-03-19,"nowcast",2,11,4,7,6,6.521,"Pará"
2020-03-20,"nowcast",2,13,4,8,8,7.943,"Pará"
2020-03-21,"nowcast",4,15,6,10,9,9.22,"Pará"
2020-03-22,"nowcast",3,16,6,11,10,10.648,"Pará"
2020-03-23,"nowcast",5,19,8,13,12,12.441,"Pará"
2020-03-24,"nowcast",7,22,8,14,14,14.182,"Pará"
2020-03-25,"nowcast",7,24,12,18,16,16.477,"Pará"
2020-03-26,"nowcast",9,28,12,20,19,19.213,"Pará"
2020-03-27,"nowcast",10,30,15,23,21,21.721,"Pará"
2020-03-28,"nowcast",13,35,17,26,24,24.946,"Pará"
2020-03-29,"nowcast",16,40,20,30,28,28.357,"Pará"
2020-03-30,"nowcast",18,44,24,34,32,32.299,"Pará"
2020-03-31,"nowcast",21,50,28,39,36,36.395,"Pará"
2020-04-01,"nowcast",24,55,31,43,40,40.921,"Pará"
2020-04-02,"nowcast",28,63,36,49,45,46.164,"Pará"
2020-04-03,"nowcast",31,68,39,54,51,52.212,"Pará"
2020-04-04,"nowcast",35,78,45,62,58,58.683,"Pará"
2020-04-05,"nowcast",42,90,53,71,65,66.644,"Pará"
2020-04-06,"nowcast",46,97,60,80,74,75.212,"Pará"
2020-04-07,"nowcast",55,109,68,90,84,84.81,"Pará"
2020-04-08,"nowcast",65,123,75,99,94,95.592,"Pará"
2020-04-09,"nowcast",75,137,92,117,105,106.418,"Pará"
2020-04-10,"nowcast",82,147,97,124,117,117.957,"Pará"
2020-04-11,"nowcast",92,162,111,137,128,130.679,"Pará"
2020-04-12,"nowcast",110,183,114,145,143,144.915,"Pará"
2020-04-13,"nowcast",117,196,132,165,158,159.387,"Pará"
2020-04-14,"nowcast",131,217,147,183,174,176.296,"Pará"
2020-04-15,"nowcast",145,237,169,207,193,195.268,"Pará"
2020-04-16,"nowcast",167,263,189,228,214,215.575,"Pará"
2020-04-17,"nowcast",183,282,201,243,234,236.23,"Pará"
2020-04-18,"nowcast",208,315,217,260,253,256.926,"Pará"
2020-04-19,"nowcast",217,333,242,290,275,277.471,"Pará"
2020-04-20,"nowcast",230,357,267,319,296,299.261,"Pará"
2020-04-21,"nowcast",254,389,286,341,322,324.692,"Pará"
2020-04-22,"nowcast",273,419,302,363,347,349.816,"Pará"
2020-04-23,"nowcast",296,456,330,394,373,379.641,"Pará"
2020-04-24,"nowcast",327,499,364,434,406,411.076,"Pará"
2020-04-25,"nowcast",349,531,402,475,446,449.044,"Pará"
2020-04-26,"nowcast",388,581,431,506,484,487.901,"Pará"
2020-04-27,"nowcast",423,625,485,567,525,529.593,"Pará"
2020-04-28,"nowcast",454,676,513,603,567,572.913,"Pará"
2020-04-29,"nowcast",508,743,553,650,616,620.806,"Pará"
2020-04-30,"nowcast",547,787,608,709,667,671.671,"Pará"
2020-05-01,"nowcast",593,855,652,760,721,728.522,"Pará"
2020-05-02,"nowcast",639,917,736,847,784.5,787.467,"Pará"
2020-05-03,"nowcast",721,998,785,902,849,849.411,"Pará"
2020-05-04,"nowcast",766,1056,859,976,911,912.815,"Pará"
2020-05-05,"nowcast",822,1125,887,1019,976,981.3,"Pará"
2020-05-06,"nowcast",901,1203,980,1108,1057,1057.515,"Pará"
2020-05-07,"nowcast",984,1283,1062,1189,1136,1136.999,"Pará"
2020-05-08,"nowcast",1077,1371,1170,1297,1215.5,1216.812,"Pará"
2020-05-09,"nowcast",1133,1422,1212,1329,1286,1288.825,"Pará"
2020-05-10,"nowcast",1206,1504,1282,1411,1353,1355.906,"Pará"
2020-05-11,"nowcast",1251,1562,1341,1474,1420.5,1419.4,"Pará"
2020-05-12,"nowcast",1330,1640,1411,1543,1486,1486.987,"Pará"
2020-05-13,"nowcast",1425,1734,1524,1654,1564,1560.669,"Pará"
2020-05-14,"nowcast",1494,1791,1580,1703,1640.5,1639.05,"Pará"
2020-05-15,"nowcast",1580,1859,1654,1769,1721.5,1717.282,"Pará"
2020-05-16,"nowcast",1645,1901,1725,1834,1781.5,1775.449,"Pará"
2020-05-17,"nowcast",1693,1951,1771,1877,1828,1824.609,"Pará"
2020-05-18,"nowcast",1745,1995,1830,1936,1871,1864.068,"Pará"
2020-05-19,"nowcast",1775,2027,1862,1965,1904,1899.5,"Pará"
2020-05-20,"nowcast",1810,2055,1904,2006,1946.5,1941.007,"Pará"
2020-05-21,"nowcast",1851,2096,1937,2030,1981,1977.643,"Pará"
2020-05-22,"nowcast",1892,2113,1964,2058,2011.5,2007.792,"Pará"
2020-05-23,"nowcast",1922,2135,1982,2073,2031,2028.134,"Pará"
2020-05-24,"nowcast",1912,2145,1991,2086,2032,2030.701,"Pará"
2020-05-25,"nowcast",1910,2166,1998,2106,2035,2034.638,"Pará"
2020-05-26,"nowcast",1926,2190,2029,2128,2061,2056.796,"Pará"
2020-05-27,"nowcast",1962,2224,2060,2164,2100,2095.983,"Pará"
2020-05-28,"nowcast",2047,2285,2107,2203,2159.5,2154.662,"Pará"
2020-05-29,"nowcast",2097,2309,2160,2241,2201,2199.863,"Pará"
2020-05-30,"nowcast",2121,2306,2171,2246,2204,2202.503,"Pará"
2020-05-31,"nowcast",2065,2254,2124,2199,2158,2158.316,"Pará"
2020-06-01,"nowcast",1990,2189,2061,2142,2100,2094.705,"Pará"
2020-06-02,"nowcast",1953,2159,2005,2092,2045,2044.059,"Pará"
2020-06-03,"nowcast",1919,2148,1980,2068,2028,2024.195,"Pará"
2020-06-04,"nowcast",1918,2148,1999,2090,2034,2031.668,"Pará"
2020-06-05,"nowcast",1935,2158,2008,2099,2057,2054.881,"Pará"
2020-06-06,"nowcast",1953,2177,2027,2117,2065,2062.876,"Pará"
2020-06-07,"nowcast",1924,2167,2013,2114,2055,2051.031,"Pará"
2020-06-08,"nowcast",1925,2193,1994,2101,2058,2055.111,"Pará"
2020-06-09,"nowcast",1968,2238,2029,2137,2090.5,2086.549,"Pará"
2020-06-10,"nowcast",2006,2263,2089,2189,2138,2136.611,"Pará"
2020-06-11,"nowcast",2079,2311,2146,2236,2185.5,2183.949,"Pará"
2020-06-12,"nowcast",2100,2316,2176,2263,2219,2219.021,"Pará"
2020-06-13,"nowcast",2118,2312,2193,2268,2223,2221.95,"Pará"
2020-06-14,"nowcast",2102,2296,2142,2221,2195,2194.925,"Pará"
2020-06-15,"nowcast",2040,2231,2109,2184,2147,2145.469,"Pará"
2020-06-16,"nowcast",1988,2173,2050,2122,2092,2090.207,"Pará"
2020-06-17,"nowcast",1962,2142,2008,2079,2047,2048.389,"Pará"
2020-06-18,"nowcast",1922,2101,1973,2045,2019,2017.521,"Pará"
2020-06-19,"nowcast",1892,2071,1954,2026,1991.5,1989.051,"Pará"
2020-06-20,"nowcast",1855,2031,1913,1984,1952,1949.371,"Pará"
2020-06-21,"nowcast",1805,1984,1870,1937,1901,1899.786,"Pará"
2020-06-22,"nowcast",1753,1936,1819,1891,1855,1851.706,"Pará"
2020-06-23,"nowcast",1714,1914,1768,1849,1820,1819.384,"Pará"
2020-06-24,"nowcast",1712,1916,1758,1842,1812,1809.655,"Pará"
