"region","date","type","bottom","top","lower","upper","median","mean"
"Pará",2020-02-06,"nowcast",1,1,1,1,1,1
"Pará",2020-02-07,"nowcast",0,0,0,0,0,0
"Pará",2020-02-08,"nowcast",0,0,0,0,0,0
"Pará",2020-02-09,"nowcast",0,0,0,0,0,0
"Pará",2020-02-10,"nowcast",0,1,0,1,0.5,0.5
"Pará",2020-02-11,"nowcast",0,0,0,0,0,0
"Pará",2020-02-12,"nowcast",0,1,0,1,0.5,0.5
"Pará",2020-02-13,"nowcast",0,1,0,1,0.5,0.5
"Pará",2020-02-14,"nowcast",0,1,0,0,0,0.333333333333333
"Pará",2020-02-15,"nowcast",0,1,1,1,1,0.555555555555556
"Pará",2020-02-16,"nowcast",0,1,0,0,0,0.357142857142857
"Pará",2020-02-17,"nowcast",0,1,0,0,0,0.294117647058824
"Pará",2020-02-18,"nowcast",0,1,0,0,0,0.25
"Pará",2020-02-19,"nowcast",0,1,0,0,0,0.296296296296296
"Pará",2020-02-20,"nowcast",0,1,0,0,0,0.486486486486487
"Pará",2020-02-21,"nowcast",0,1,0,0,0,0.407407407407407
"Pará",2020-02-22,"nowcast",0,1,0,0,0,0.309859154929577
"Pará",2020-02-23,"nowcast",0,1,0,0,0,0.271739130434783
"Pará",2020-02-24,"nowcast",0,1,0,0,0,0.327433628318584
"Pará",2020-02-25,"nowcast",0,1,0,0,0,0.316901408450704
"Pará",2020-02-26,"nowcast",0,1,0,0,0,0.406593406593407
"Pará",2020-02-27,"nowcast",0,1,0,0,0,0.382608695652174
"Pará",2020-02-28,"nowcast",0,1,0,0,0,0.388888888888889
"Pará",2020-02-29,"nowcast",0,1,0,0,0,0.371104815864023
"Pará",2020-03-01,"nowcast",0,1,0,0,0,0.407582938388626
"Pará",2020-03-02,"nowcast",0,1,0,0,0,0.391650099403579
"Pará",2020-03-03,"nowcast",0,1,0,0,0,0.454703832752613
"Pará",2020-03-04,"nowcast",0,1,0,0,0,0.496960486322188
"Pará",2020-03-05,"nowcast",0,2,0,0,0,0.608695652173913
"Pará",2020-03-06,"nowcast",0,2,0,1,1,0.706535141800247
"Pará",2020-03-07,"nowcast",0,2,0,1,1,0.74364896073903
"Pará",2020-03-08,"nowcast",0,2,0,1,1,0.97032967032967
"Pará",2020-03-09,"nowcast",0,3,0,1,1,1.06376195536663
"Pará",2020-03-10,"nowcast",0,3,0,1,1,1.27376033057851
"Pará",2020-03-11,"nowcast",0,3,0,1,1,1.61042944785276
"Pará",2020-03-12,"nowcast",0,4,1,2,2,1.9949494949495
