"region","date","type","bottom","top","lower","upper","median","mean"
"Pernambuco",2020-02-01,"nowcast",1,1,1,1,1,1
"Pernambuco",2020-02-02,"nowcast",1,1,1,1,1,1
"Pernambuco",2020-02-03,"nowcast",0,1,0,1,0.5,0.5
"Pernambuco",2020-02-04,"nowcast",0,1,0,0,0,0.333333333333333
"Pernambuco",2020-02-05,"nowcast",0,1,0,0,0,0.4
"Pernambuco",2020-02-06,"nowcast",0,1,1,1,1,0.545454545454545
"Pernambuco",2020-02-07,"nowcast",0,1,0,0,0,0.214285714285714
"Pernambuco",2020-02-08,"nowcast",0,1,0,0,0,0.409090909090909
"Pernambuco",2020-02-09,"nowcast",0,1,0,0,0,0.307692307692308
"Pernambuco",2020-02-10,"nowcast",0,1,0,0,0,0.342105263157895
"Pernambuco",2020-02-11,"nowcast",0,1,0,0,0,0.326530612244898
"Pernambuco",2020-02-12,"nowcast",0,1,0,0,0,0.32258064516129
"Pernambuco",2020-02-13,"nowcast",0,1,0,0,0,0.222222222222222
"Pernambuco",2020-02-14,"nowcast",0,1,0,0,0,0.258426966292135
"Pernambuco",2020-02-15,"nowcast",0,1,0,0,0,0.318181818181818
"Pernambuco",2020-02-16,"nowcast",0,1,0,0,0,0.25
"Pernambuco",2020-02-17,"nowcast",0,1,0,0,0,0.311764705882353
"Pernambuco",2020-02-18,"nowcast",0,1,0,0,0,0.323943661971831
"Pernambuco",2020-02-19,"nowcast",0,1,0,0,0,0.411320754716981
"Pernambuco",2020-02-20,"nowcast",0,1,0,0,0,0.408668730650155
"Pernambuco",2020-02-21,"nowcast",0,1,0,0,0,0.35
"Pernambuco",2020-02-22,"nowcast",0,1,0,0,0,0.41123595505618
"Pernambuco",2020-02-23,"nowcast",0,1,0,0,0,0.44100580270793
"Pernambuco",2020-02-24,"nowcast",0,1,0,0,0,0.483277591973244
"Pernambuco",2020-02-25,"nowcast",0,1,0,0,0,0.518573551263002
