"region","date","type","bottom","top","lower","upper","median","mean"
"Rio Grande do Norte",2020-02-06,"nowcast",1,1,1,1,1,1
"Rio Grande do Norte",2020-02-07,"nowcast",0,0,0,0,0,0
"Rio Grande do Norte",2020-02-08,"nowcast",0,0,0,0,0,0
"Rio Grande do Norte",2020-02-09,"nowcast",0,1,0,1,0.5,0.5
"Rio Grande do Norte",2020-02-10,"nowcast",0,1,0,1,0.5,0.5
"Rio Grande do Norte",2020-02-11,"nowcast",0,1,0,0,0,0.428571428571429
"Rio Grande do Norte",2020-02-12,"nowcast",0,1,0,1,0.5,0.5
"Rio Grande do Norte",2020-02-13,"nowcast",0,1,0,0,0,0.277777777777778
"Rio Grande do Norte",2020-02-14,"nowcast",0,1,0,0,0,0.318181818181818
"Rio Grande do Norte",2020-02-15,"nowcast",0,1,0,0,0,0.375
"Rio Grande do Norte",2020-02-16,"nowcast",0,1,0,0,0,0.318181818181818
"Rio Grande do Norte",2020-02-17,"nowcast",0,1,0,0,0,0.288461538461538
"Rio Grande do Norte",2020-02-18,"nowcast",0,1,0,0,0,0.209677419354839
"Rio Grande do Norte",2020-02-19,"nowcast",0,1,0,0,0,0.315789473684211
"Rio Grande do Norte",2020-02-20,"nowcast",0,1,0,0,0,0.336538461538462
"Rio Grande do Norte",2020-02-21,"nowcast",0,1,0,0,0,0.325925925925926
"Rio Grande do Norte",2020-02-22,"nowcast",0,1,0,0,0,0.378531073446328
"Rio Grande do Norte",2020-02-23,"nowcast",0,1,0,0,0,0.358139534883721
"Rio Grande do Norte",2020-02-24,"nowcast",0,1,0,0,0,0.406593406593407
"Rio Grande do Norte",2020-02-25,"nowcast",0,1,0,0,0,0.381538461538462
"Rio Grande do Norte",2020-02-26,"nowcast",0,1,0,0,0,0.476543209876543
"Rio Grande do Norte",2020-02-27,"nowcast",0,1,0,0,0,0.421487603305785
"Rio Grande do Norte",2020-02-28,"nowcast",0,1,0,0,0,0.478723404255319
"Rio Grande do Norte",2020-02-29,"nowcast",0,1,0,0,0,0.50077519379845
"Rio Grande do Norte",2020-03-01,"nowcast",0,1,0,0,0,0.592847317744154
"Rio Grande do Norte",2020-03-02,"nowcast",0,2,0,0,0,0.602027883396705
"Rio Grande do Norte",2020-03-03,"nowcast",0,2,0,1,1,0.76741440377804
"Rio Grande do Norte",2020-03-04,"nowcast",0,2,0,1,1,0.895671476137625
"Rio Grande do Norte",2020-03-05,"nowcast",0,2,0,1,1,1.05313496280553
"Rio Grande do Norte",2020-03-06,"nowcast",0,3,0,1,1,1.221875
"Rio Grande do Norte",2020-03-07,"nowcast",0,3,0,1,1,1.55702647657841
"Rio Grande do Norte",2020-03-08,"nowcast",0,4,0,1,1,1.72883064516129
"Rio Grande do Norte",2020-03-09,"nowcast",0,4,0,2,2,2.10452261306533
"Rio Grande do Norte",2020-03-10,"nowcast",0,5,0,2,2,2.51851851851852
"Rio Grande do Norte",2020-03-11,"nowcast",0,6,1,3,3,3.125
"Rio Grande do Norte",2020-03-12,"nowcast",1,7,2,4,4,3.686
"Rio Grande do Norte",2020-03-13,"nowcast",1,8,3,5,4,4.388
"Rio Grande do Norte",2020-03-14,"nowcast",1,9,2,5,5,5.215
"Rio Grande do Norte",2020-03-15,"nowcast",1,10,3,6,6,6.201
"Rio Grande do Norte",2020-03-16,"nowcast",2,11,5,8,7,7.102
"Rio Grande do Norte",2020-03-17,"nowcast",3,13,5,9,8,8.303
"Rio Grande do Norte",2020-03-18,"nowcast",4,14,6,10,9,9.334
"Rio Grande do Norte",2020-03-19,"nowcast",5,16,8,12,11,10.788
"Rio Grande do Norte",2020-03-20,"nowcast",5,17,9,13,12,12.229
"Rio Grande do Norte",2020-03-21,"nowcast",8,20,9,14,14,13.822
"Rio Grande do Norte",2020-03-22,"nowcast",10,22,11,16,15,15.139
"Rio Grande do Norte",2020-03-23,"nowcast",10,23,13,18,16,16.626
"Rio Grande do Norte",2020-03-24,"nowcast",10,24,14,19,18,17.927
"Rio Grande do Norte",2020-03-25,"nowcast",12,26,14,20,19,18.922
"Rio Grande do Norte",2020-03-26,"nowcast",13,27,15,21,20,19.805
"Rio Grande do Norte",2020-03-27,"nowcast",12,27,15,21,20,20.483
"Rio Grande do Norte",2020-03-28,"nowcast",14,29,17,23,22,21.96
"Rio Grande do Norte",2020-03-29,"nowcast",14,29,18,24,22,22.453
"Rio Grande do Norte",2020-03-30,"nowcast",15,30,18,24,23,22.817
"Rio Grande do Norte",2020-03-31,"nowcast",15,30,18,24,23,22.788
"Rio Grande do Norte",2020-04-01,"nowcast",14,30,18,24,22,22.493
"Rio Grande do Norte",2020-04-02,"nowcast",13,30,17,23,22,22.122
"Rio Grande do Norte",2020-04-03,"nowcast",13,31,17,24,23,23.147
"Rio Grande do Norte",2020-04-04,"nowcast",14,33,21,28,25,25.144
"Rio Grande do Norte",2020-04-05,"nowcast",19,37,24,31,28,28.202
"Rio Grande do Norte",2020-04-06,"nowcast",20,40,25,33,31,31.414
"Rio Grande do Norte",2020-04-07,"nowcast",24,44,29,37,34,34.167
"Rio Grande do Norte",2020-04-08,"nowcast",26,47,30,38,36,36.759
"Rio Grande do Norte",2020-04-09,"nowcast",26,48,34,42,38,38.938
