"region","date","type","bottom","top","lower","upper","median","mean"
"Roraima",2020-02-09,"nowcast",1,1,1,1,1,1
"Roraima",2020-02-10,"nowcast",1,1,1,1,1,1
"Roraima",2020-02-11,"nowcast",0,0,0,0,0,0
"Roraima",2020-02-12,"nowcast",0,0,0,0,0,0
"Roraima",2020-02-13,"nowcast",0,1,0,1,0.5,0.5
"Roraima",2020-02-14,"nowcast",0,1,0,1,0.5,0.5
"Roraima",2020-02-15,"nowcast",0,1,0,0,0,0.2
"Roraima",2020-02-16,"nowcast",0,1,1,1,1,0.7
"Roraima",2020-02-17,"nowcast",0,1,0,0,0,0.181818181818182
"Roraima",2020-02-18,"nowcast",0,1,0,0,0,0.153846153846154
"Roraima",2020-02-19,"nowcast",0,1,0,0,0,0.133333333333333
"Roraima",2020-02-20,"nowcast",0,1,0,0,0,0.428571428571429
"Roraima",2020-02-21,"nowcast",0,1,0,0,0,0.407407407407407
"Roraima",2020-02-22,"nowcast",0,1,0,0,0,0.314285714285714
"Roraima",2020-02-23,"nowcast",0,1,0,0,0,0.260869565217391
"Roraima",2020-02-24,"nowcast",0,1,0,0,0,0.305084745762712
"Roraima",2020-02-25,"nowcast",0,1,0,0,0,0.341176470588235
"Roraima",2020-02-26,"nowcast",0,1,0,0,0,0.277777777777778
"Roraima",2020-02-27,"nowcast",0,1,0,0,0,0.323741007194245
"Roraima",2020-02-28,"nowcast",0,1,0,0,0,0.333333333333333
"Roraima",2020-02-29,"nowcast",0,1,0,0,0,0.337777777777778
"Roraima",2020-03-01,"nowcast",0,1,0,0,0,0.376383763837638
"Roraima",2020-03-02,"nowcast",0,1,0,0,0,0.366366366366366
"Roraima",2020-03-03,"nowcast",0,1,0,0,0,0.381313131313131
"Roraima",2020-03-04,"nowcast",0,1,0,0,0,0.448936170212766
"Roraima",2020-03-05,"nowcast",0,1,0,0,0,0.394833948339483
"Roraima",2020-03-06,"nowcast",0,1,0,0,0,0.469255663430421
"Roraima",2020-03-07,"nowcast",0,1,0,0,0,0.518089725036179
"Roraima",2020-03-08,"nowcast",0,2,0,0,0,0.610191082802548
"Roraima",2020-03-09,"nowcast",0,2,0,0,0,0.623529411764706
"Roraima",2020-03-10,"nowcast",0,2,0,1,1,0.728491620111732
"Roraima",2020-03-11,"nowcast",0,2,0,1,1,0.917910447761194
"Roraima",2020-03-12,"nowcast",0,2,0,1,1,1.03933747412008
"Roraima",2020-03-13,"nowcast",0,3,0,1,1,1.23326572008114
"Roraima",2020-03-14,"nowcast",0,3,0,1,1,1.4332998996991
"Roraima",2020-03-15,"nowcast",0,4,0,1,1,1.71971971971972
"Roraima",2020-03-16,"nowcast",0,4,1,2,2,1.96396396396396
"Roraima",2020-03-17,"nowcast",0,4,0,2,2,2.1961961961962
"Roraima",2020-03-18,"nowcast",0,5,1,2,2,2.374
"Roraima",2020-03-19,"nowcast",0,5,1,3,3,2.767
"Roraima",2020-03-20,"nowcast",0,5,1,3,3,2.979
"Roraima",2020-03-21,"nowcast",1,6,1,3,3,3.256
"Roraima",2020-03-22,"nowcast",0,6,2,4,3,3.57
"Roraima",2020-03-23,"nowcast",1,7,2,4,4,3.894
"Roraima",2020-03-24,"nowcast",0,7,3,5,4,4.159
"Roraima",2020-03-25,"nowcast",1,8,3,5,5,4.778
"Roraima",2020-03-26,"nowcast",2,9,2,5,5,5.31
"Roraima",2020-03-27,"nowcast",2,10,3,6,6,6.112
"Roraima",2020-03-28,"nowcast",1,10,4,7,7,6.716
"Roraima",2020-03-29,"nowcast",2,11,5,8,7,7.446
"Roraima",2020-03-30,"nowcast",2,12,4,8,8,8.176
"Roraima",2020-03-31,"nowcast",4,14,5,9,9,8.912
"Roraima",2020-04-01,"nowcast",4,15,7,11,10,9.979
"Roraima",2020-04-02,"nowcast",5,16,8,12,11,11.091
"Roraima",2020-04-03,"nowcast",6,18,10,14,12,12.564
"Roraima",2020-04-04,"nowcast",6,19,10,15,14,14.051
"Roraima",2020-04-05,"nowcast",8,22,11,16,15,15.73
"Roraima",2020-04-06,"nowcast",9,23,14,19,17,17.026
"Roraima",2020-04-07,"nowcast",12,26,13,19,18,18.66
"Roraima",2020-04-08,"nowcast",12,27,15,21,20,19.951
"Roraima",2020-04-09,"nowcast",12,28,16,22,21,21.373
"Roraima",2020-04-10,"nowcast",13,29,19,25,23,22.938
"Roraima",2020-04-11,"nowcast",16,33,18,25,24,24.513
"Roraima",2020-04-12,"nowcast",15,33,19,26,25,25.293
"Roraima",2020-04-13,"nowcast",17,35,21,28,26,26.352
"Roraima",2020-04-14,"nowcast",19,37,22,29,27,27.243
"Roraima",2020-04-15,"nowcast",18,38,22,30,28,28.63
"Roraima",2020-04-16,"nowcast",21,41,23,31,30,30.163
"Roraima",2020-04-17,"nowcast",22,43,26,34,32,32.593
"Roraima",2020-04-18,"nowcast",23,45,27,36,35,34.852
"Roraima",2020-04-19,"nowcast",26,49,31,40,38,38.283
"Roraima",2020-04-20,"nowcast",28,53,33,43,41,41.164
"Roraima",2020-04-21,"nowcast",31,57,36,47,44.5,44.743
"Roraima",2020-04-22,"nowcast",34,60,40,51,48,48.533
"Roraima",2020-04-23,"nowcast",37,64,44,55,52,52.029
"Roraima",2020-04-24,"nowcast",44,71,48,59,56,56.637
"Roraima",2020-04-25,"nowcast",47,73,53,64,61,61.345
"Roraima",2020-04-26,"nowcast",52,79,58,69,65,65.543
"Roraima",2020-04-27,"nowcast",56,84,62,73,69,69.184
"Roraima",2020-04-28,"nowcast",58,86,63,75,71,71.321
"Roraima",2020-04-29,"nowcast",55,85,63,75,72,72.036
"Roraima",2020-04-30,"nowcast",59,88,66,77,73,73.184
"Roraima",2020-05-01,"nowcast",59,88,67,78,74,74.337
"Roraima",2020-05-02,"nowcast",60,90,68,80,76,75.33
"Roraima",2020-05-03,"nowcast",60,92,69,81,77,77.31
"Roraima",2020-05-04,"nowcast",60,93,68,81,78,78.083
"Roraima",2020-05-05,"nowcast",62,95,69,83,80,80.143
"Roraima",2020-05-06,"nowcast",64,100,72,87,82,82.479
"Roraima",2020-05-07,"nowcast",64,101,74,88,83.5,84.049
"Roraima",2020-05-08,"nowcast",70,106,80,95,89,89.07
"Roraima",2020-05-09,"nowcast",74,113,84,100,94,94.448
"Roraima",2020-05-10,"nowcast",79,119,92,107,99,99.753
"Roraima",2020-05-11,"nowcast",82,125,94,110,106,105.896
"Roraima",2020-05-12,"nowcast",88,132,101,119,111,112.084
"Roraima",2020-05-13,"nowcast",93,138,106,124,116,116.944
"Roraima",2020-05-14,"nowcast",100,148,109,128,123,123.476
"Roraima",2020-05-15,"nowcast",106,155,113,134,129,129.629
"Roraima",2020-05-16,"nowcast",109,162,126,146,137,137.095
"Roraima",2020-05-17,"nowcast",116,172,133,155,145,145.804
"Roraima",2020-05-18,"nowcast",127,184,135,159,155,155.64
"Roraima",2020-05-19,"nowcast",137,195,151,174,165,165.965
"Roraima",2020-05-20,"nowcast",147,206,164,187,178,178.322
"Roraima",2020-05-21,"nowcast",160,218,173,196,189,189.406
"Roraima",2020-05-22,"nowcast",174,232,187,210,202,202.477
"Roraima",2020-05-23,"nowcast",182,242,201,225,214,214.754
"Roraima",2020-05-24,"nowcast",191,251,211,234,224,225.31
"Roraima",2020-05-25,"nowcast",203,260,223,246,235,234.508
"Roraima",2020-05-26,"nowcast",210,269,228,252,242,242.019
"Roraima",2020-05-27,"nowcast",218,277,237,260,249,249.647
"Roraima",2020-05-28,"nowcast",226,284,245,268,258,257.127
"Roraima",2020-05-29,"nowcast",235,288,251,273,262,261.838
"Roraima",2020-05-30,"nowcast",239,296,248,271,264,264.697
"Roraima",2020-05-31,"nowcast",231,288,251,273,262,262.848
"Roraima",2020-06-01,"nowcast",227,285,241,266,257,257.754
"Roraima",2020-06-02,"nowcast",213,280,236,262,248,249.791
"Roraima",2020-06-03,"nowcast",206,282,219,248,239,241.337
"Roraima",2020-06-04,"nowcast",194,281,209,244,236,237.357
"Roraima",2020-06-05,"nowcast",188,289,219,259,238,240.398
"Roraima",2020-06-06,"nowcast",187,311,219,266,249,250.859
"Roraima",2020-06-07,"nowcast",199,338,238,293,266,267.785
"Roraima",2020-06-08,"nowcast",217,370,247,310,288,291.729
"Roraima",2020-06-09,"nowcast",242,408,287,351,324,327.353
"Roraima",2020-06-10,"nowcast",289,455,328,396,370,371.051
"Roraima",2020-06-11,"nowcast",337,503,384,454,421,421.819
"Roraima",2020-06-12,"nowcast",387,549,436,504,474.5,474.14
"Roraima",2020-06-13,"nowcast",454,603,495,557,528,527.259
"Roraima",2020-06-14,"nowcast",504,641,567,623,580,577.936
"Roraima",2020-06-15,"nowcast",558,686,596,648,622.5,621.824
"Roraima",2020-06-16,"nowcast",605,722,634,681,661,660.818
"Roraima",2020-06-17,"nowcast",627,735,669,717,688,686.915
"Roraima",2020-06-18,"nowcast",644,752,664,709,700,700.515
"Roraima",2020-06-19,"nowcast",640,741,669,710,694,695.089
"Roraima",2020-06-20,"nowcast",620,720,649,689,672,672.242
"Roraima",2020-06-21,"nowcast",594,686,619,657,642,642.76
"Roraima",2020-06-22,"nowcast",570,662,596,632,617,617.585
"Roraima",2020-06-23,"nowcast",559,648,580,615,600,600.496
