"region","date","type","bottom","top","lower","upper","median","mean"
"Tocantins",2020-02-08,"nowcast",1,1,1,1,1,1
"Tocantins",2020-02-09,"nowcast",0,0,0,0,0,0
"Tocantins",2020-02-10,"nowcast",0,1,0,1,0.5,0.5
"Tocantins",2020-02-11,"nowcast",0,1,0,1,0.5,0.5
"Tocantins",2020-02-12,"nowcast",0,0,0,0,0,0
"Tocantins",2020-02-13,"nowcast",0,1,0,0,0,0.333333333333333
"Tocantins",2020-02-14,"nowcast",0,1,1,1,1,0.571428571428571
"Tocantins",2020-02-15,"nowcast",0,1,0,0,0,0.142857142857143
"Tocantins",2020-02-16,"nowcast",0,1,0,0,0,0.444444444444444
"Tocantins",2020-02-17,"nowcast",0,1,0,0,0,0.333333333333333
"Tocantins",2020-02-18,"nowcast",0,1,0,0,0,0.142857142857143
"Tocantins",2020-02-19,"nowcast",0,1,0,0,0,0.294117647058824
"Tocantins",2020-02-20,"nowcast",0,1,0,0,0,0.285714285714286
"Tocantins",2020-02-21,"nowcast",0,1,0,0,0,0.217391304347826
"Tocantins",2020-02-22,"nowcast",0,1,0,0,0,0.275862068965517
"Tocantins",2020-02-23,"nowcast",0,1,0,0,0,0.382978723404255
"Tocantins",2020-02-24,"nowcast",0,1,0,0,0,0.323076923076923
"Tocantins",2020-02-25,"nowcast",0,1,0,0,0,0.25974025974026
"Tocantins",2020-02-26,"nowcast",0,1,0,0,0,0.336633663366337
"Tocantins",2020-02-27,"nowcast",0,1,0,0,0,0.37410071942446
"Tocantins",2020-02-28,"nowcast",0,1,0,0,0,0.236363636363636
"Tocantins",2020-02-29,"nowcast",0,1,0,0,0,0.30952380952381
"Tocantins",2020-03-01,"nowcast",0,1,0,0,0,0.350194552529183
"Tocantins",2020-03-02,"nowcast",0,1,0,0,0,0.298412698412698
"Tocantins",2020-03-03,"nowcast",0,1,0,0,0,0.348837209302326
"Tocantins",2020-03-04,"nowcast",0,1,0,0,0,0.388157894736842
"Tocantins",2020-03-05,"nowcast",0,1,0,0,0,0.333333333333333
"Tocantins",2020-03-06,"nowcast",0,1,0,0,0,0.394342762063228
"Tocantins",2020-03-07,"nowcast",0,1,0,0,0,0.4047976011994
"Tocantins",2020-03-08,"nowcast",0,1,0,0,0,0.507343124165554
"Tocantins",2020-03-09,"nowcast",0,1,0,0,0,0.501243781094527
"Tocantins",2020-03-10,"nowcast",0,1,0,0,0,0.516431924882629
"Tocantins",2020-03-11,"nowcast",0,2,0,0,0,0.658426966292135
"Tocantins",2020-03-12,"nowcast",0,2,0,0,0,0.65843179377014
"Tocantins",2020-03-13,"nowcast",0,2,0,1,1,0.758584807492196
"Tocantins",2020-03-14,"nowcast",0,2,0,1,1,0.748723186925434
"Tocantins",2020-03-15,"nowcast",0,2,0,1,1,0.801411290322581
"Tocantins",2020-03-16,"nowcast",0,2,0,1,1,0.867735470941884
"Tocantins",2020-03-17,"nowcast",0,2,0,1,1,0.891783567134269
"Tocantins",2020-03-18,"nowcast",0,2,0,1,1,0.834
"Tocantins",2020-03-19,"nowcast",0,2,0,1,1,0.882
